                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.41989,                0.35918,                 1.0193,                0.77219,                0.77169,                0.80568,                0.63822,                0.89247,                 1.0036,                 1.4994,               6.34e-05,               6.34e-05,               6.34e-05
                     88,                0.42497,                0.39676,                 1.0215,                0.77443,                0.77973,                0.81421,                0.64343,                0.88299,                0.97491,                 1.5063,              5.944e-05,              5.944e-05,              5.944e-05
                     89,                0.42971,                0.38293,                 1.0276,                0.78265,                0.78047,                0.81857,                0.65374,                0.89964,                0.96609,                 1.5283,              5.548e-05,              5.548e-05,              5.548e-05
                     90,                0.41639,                 0.3679,                 1.0147,                0.79136,                0.76613,                0.82388,                0.65171,                0.90033,                0.91403,                 1.5126,              5.152e-05,              5.152e-05,              5.152e-05
                     91,                0.34741,                0.36009,                0.97476,                0.79523,                0.77682,                0.81556,                0.64958,                0.87891,                0.90241,                 1.5007,              4.756e-05,              4.756e-05,              4.756e-05
                     92,                 0.3277,                 0.3086,                0.97386,                0.78262,                0.76332,                0.80602,                0.62271,                 0.9317,                 1.0247,                 1.5366,               4.36e-05,               4.36e-05,               4.36e-05
                     93,                 0.3255,                0.31537,                0.99108,                0.77789,                0.75652,                0.81516,                 0.6274,                0.92856,                 1.0127,                 1.5256,              3.964e-05,              3.964e-05,              3.964e-05
                     94,                0.31338,                0.28629,                0.96675,                0.80574,                0.74868,                0.82265,                0.64302,                0.87073,                0.95714,                 1.4869,              3.568e-05,              3.568e-05,              3.568e-05
                     95,                0.27356,                  0.266,                0.90232,                0.79227,                0.76431,                0.81846,                0.64251,                0.86504,                0.97437,                 1.4852,              3.172e-05,              3.172e-05,              3.172e-05
                     96,                0.28507,                0.27088,                0.92186,                 0.8381,                0.75534,                 0.8267,                0.63684,                0.85362,                 0.9345,                 1.4896,              2.776e-05,              2.776e-05,              2.776e-05
                     97,                0.27574,                0.24694,                0.91959,                0.83675,                0.75451,                0.82309,                0.63309,                0.83723,                0.89455,                  1.472,               2.38e-05,               2.38e-05,               2.38e-05
                     98,                0.26833,                0.24745,                0.91775,                0.81465,                0.74959,                0.81578,                0.63153,                0.83111,                0.91634,                 1.4635,              1.984e-05,              1.984e-05,              1.984e-05
                     99,                0.30117,                0.28629,                0.93723,                0.83489,                0.74418,                 0.8185,                0.64702,                0.82305,                0.92128,                 1.4568,              1.588e-05,              1.588e-05,              1.588e-05
                    100,                 0.2705,                0.26381,                0.92341,                0.78893,                0.77872,                0.81174,                 0.6455,                0.82035,                0.93281,                 1.4559,              1.192e-05,              1.192e-05,              1.192e-05
